model_size,task,density,condition,delta_nonthink,delta_think,interaction,acc_none_nonthink,cap_nonthink,cap_think
4b,node_degree,0.2,degree,-0.010000000000000009,-0.010000000000000009,0.0,,0.0,0.0
4b,node_degree,0.2,clustering,0.010000000000000009,-0.010000000000000009,-0.020000000000000018,,0.0,0.0
4b,node_degree,0.2,rwse,-0.020000000000000018,-0.040000000000000036,-0.020000000000000018,,0.0,0.02
4b,node_degree,0.2,components,0.0,-0.020000000000000018,-0.020000000000000018,,0.0,0.01
4b,node_degree,0.2,all,-0.030000000000000027,-0.020000000000000018,0.010000000000000009,,0.0,0.01
4b,node_degree,0.35,filler,0.0,0.0,0.0,,0.0,0.0
4b,node_degree,0.35,degree,-0.06999999999999995,0.0,0.06999999999999995,,0.0,0.0
4b,node_degree,0.35,clustering,0.0,0.0,0.0,,0.0,0.0
4b,node_degree,0.35,rwse,-0.030000000000000027,0.0,0.030000000000000027,,0.0,0.0
4b,node_degree,0.35,components,0.0,-0.020000000000000018,-0.020000000000000018,,0.0,0.02
4b,node_degree,0.35,all,-0.06999999999999995,-0.020000000000000018,0.04999999999999993,,0.0,0.0
4b,node_degree,0.5,filler,0.0,0.0,0.0,,0.0,0.01
4b,node_degree,0.5,degree,-0.09999999999999998,0.010000000000000009,0.10999999999999999,,0.0,0.0
4b,node_degree,0.5,clustering,-0.010000000000000009,0.0,0.010000000000000009,,0.0,0.0
4b,node_degree,0.5,rwse,-0.020000000000000018,-0.050000000000000044,-0.030000000000000027,,0.0,0.0
4b,node_degree,0.5,components,0.030000000000000027,0.0,-0.030000000000000027,,0.0,0.0
4b,node_degree,0.5,all,-0.13,0.0,0.13,,0.0,0.01
