arm,n,k,edges,n_rows,acc,median_tokens,hit_cap_rate
qwen35-2b-think,60,12,360,50,0.86,1027.0,0.22
qwen35-2b-think,60,16,480,50,0.98,1376.5,0.16
qwen35-2b-think,80,4,160,50,0.88,861.5,0.24
qwen35-2b-think,80,8,320,50,0.9,738.0,0.16
qwen35-2b-think,80,12,480,50,0.82,997.0,0.3
qwen35-2b-think,80,16,640,50,0.92,1260.0,0.18
qwen35-2b-think,120,4,240,50,0.78,918.0,0.34
qwen35-2b-think,120,8,480,50,0.86,633.0,0.2
qwen35-2b-think,120,12,720,50,0.82,714.0,0.22
qwen35-2b-think,120,16,960,50,0.78,1162.5,0.32
qwen35-2b-think,160,8,640,50,0.84,1068.0,0.22
qwen35-2b-think,160,12,960,50,0.56,1068.0,0.42
qwen35-2b-think,200,12,1200,50,0.58,1050.5,0.44
qwen35-2b-think,300,8,1200,18,0.7222,847.0,0.2778
