arm,task,density,condition,n,base_acc_pts,band,delta_vs_none_pts,delta_vs_filler_pts,sig_vs_none,sig_vs_filler,content_effect
qwen3-1.7b-think,edge_count,0.1,degree,100,67.0,50-80,-43.00000000000001,-48.0,1,1,1
qwen3-1.7b-think,edge_count,0.1,clustering,100,67.0,50-80,-3.0000000000000027,-7.9999999999999964,0,0,0
qwen3-1.7b-think,edge_count,0.1,rwse,100,67.0,50-80,-12.0,-16.999999999999993,0,0,0
qwen3-1.7b-think,edge_count,0.1,components,100,67.0,50-80,-8.000000000000007,-13.0,0,0,0
qwen3-1.7b-think,edge_count,0.1,all,100,67.0,50-80,-27.0,-31.999999999999996,1,1,1
qwen3-1.7b-think,edge_count,0.2,degree,100,31.0,20-50,-4.999999999999999,-4.999999999999999,0,0,0
qwen3-1.7b-think,edge_count,0.2,clustering,100,31.0,20-50,-1.0000000000000009,-1.0000000000000009,0,0,0
qwen3-1.7b-think,edge_count,0.2,rwse,100,31.0,20-50,-2.0000000000000018,-2.0000000000000018,0,0,0
qwen3-1.7b-think,edge_count,0.2,components,100,31.0,20-50,-2.9999999999999973,-2.9999999999999973,0,0,0
qwen3-1.7b-think,edge_count,0.2,all,100,31.0,20-50,-2.9999999999999973,-2.9999999999999973,0,0,0
qwen3-1.7b-think,edge_count,0.35,degree,100,3.0,<20,17.0,14.000000000000002,1,1,1
qwen3-1.7b-think,edge_count,0.35,clustering,100,3.0,<20,2.0000000000000004,-0.9999999999999996,0,0,0
qwen3-1.7b-think,edge_count,0.35,rwse,100,3.0,<20,-1.9999999999999998,-5.0,0,0,0
qwen3-1.7b-think,edge_count,0.35,components,100,3.0,<20,0.0,-3.0,0,0,0
qwen3-1.7b-think,edge_count,0.35,all,100,3.0,<20,35.0,32.0,1,1,1
qwen3-1.7b-think,edge_count,0.5,degree,100,0.0,<20,17.0,17.0,1,1,1
qwen3-1.7b-think,edge_count,0.5,clustering,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b-think,edge_count,0.5,rwse,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b-think,edge_count,0.5,components,100,0.0,<20,1.0,1.0,0,0,0
qwen3-1.7b-think,edge_count,0.5,all,100,0.0,<20,31.0,31.0,1,1,1
qwen3-4b,edge_existence,0.1,degree,100,96.0,>95,3.0000000000000027,3.0000000000000027,0,0,0
qwen3-4b,edge_existence,0.1,clustering,100,96.0,>95,1.0000000000000009,1.0000000000000009,0,0,0
qwen3-4b,edge_existence,0.1,rwse,100,96.0,>95,0.0,0.0,0,0,0
qwen3-4b,edge_existence,0.1,components,100,96.0,>95,3.0000000000000027,3.0000000000000027,0,0,0
qwen3-4b,edge_existence,0.1,all,100,96.0,>95,-1.0000000000000009,-1.0000000000000009,0,0,0
qwen3-4b,edge_existence,0.2,degree,100,93.0,80-95,-2.0000000000000018,7.000000000000006,0,0,0
qwen3-4b,edge_existence,0.2,clustering,100,93.0,80-95,4.999999999999993,14.000000000000002,0,1,0
qwen3-4b,edge_existence,0.2,rwse,100,93.0,80-95,-4.0000000000000036,5.000000000000004,0,0,0
qwen3-4b,edge_existence,0.2,components,100,93.0,80-95,0.9999999999999898,9.999999999999998,0,1,0
qwen3-4b,edge_existence,0.2,all,100,93.0,80-95,-9.000000000000007,0.0,0,0,0
qwen3-4b,edge_existence,0.35,degree,100,83.0,80-95,-3.9999999999999925,4.0000000000000036,0,0,0
qwen3-4b,edge_existence,0.35,clustering,100,83.0,80-95,6.000000000000005,14.000000000000002,0,1,0
qwen3-4b,edge_existence,0.35,rwse,100,83.0,80-95,-13.0,-5.000000000000004,0,0,0
qwen3-4b,edge_existence,0.35,components,100,83.0,80-95,-7.9999999999999964,0.0,0,0,0
qwen3-4b,edge_existence,0.35,all,100,83.0,80-95,-13.0,-5.000000000000004,0,0,0
qwen3-4b,edge_existence,0.5,degree,100,90.0,80-95,-16.000000000000004,-5.000000000000004,1,0,0
qwen3-4b,edge_existence,0.5,clustering,100,90.0,80-95,3.9999999999999925,14.999999999999991,0,1,0
qwen3-4b,edge_existence,0.5,rwse,100,90.0,80-95,-23.0,-12.0,1,1,1
qwen3-4b,edge_existence,0.5,components,100,90.0,80-95,-7.000000000000006,3.9999999999999925,0,0,0
qwen3-4b,edge_existence,0.5,all,100,90.0,80-95,-17.000000000000004,-6.000000000000005,1,0,0
qwen3-4b,edge_existence,0.65,degree,100,87.0,80-95,-5.999999999999995,6.000000000000005,0,0,0
qwen3-4b,edge_existence,0.65,clustering,100,87.0,80-95,7.9999999999999964,19.999999999999996,0,1,0
qwen3-4b,edge_existence,0.65,rwse,100,87.0,80-95,3.0000000000000027,15.000000000000002,0,1,0
qwen3-4b,edge_existence,0.65,components,100,87.0,80-95,-7.9999999999999964,4.0000000000000036,0,0,0
qwen3-4b,edge_existence,0.65,all,100,87.0,80-95,1.0000000000000009,13.0,0,1,0
qwen3-4b,edge_existence,0.75,degree,100,87.0,80-95,0.0,2.0000000000000018,0,0,0
qwen3-4b,edge_existence,0.75,clustering,100,87.0,80-95,8.999999999999996,10.999999999999998,0,1,0
qwen3-4b,edge_existence,0.75,rwse,100,87.0,80-95,1.0000000000000009,3.0000000000000027,0,0,0
qwen3-4b,edge_existence,0.75,components,100,87.0,80-95,1.0000000000000009,3.0000000000000027,0,0,0
qwen3-4b,edge_existence,0.75,all,100,87.0,80-95,-2.0000000000000018,0.0,0,0,0
qwen3-4b,edge_existence,0.85,degree,100,96.0,>95,-3.9999999999999925,1.0000000000000009,0,0,0
