arm,task,density,d_degree,d_clustering,d_rwse,sum_parts,d_all,gap,ratio,max_part,ratio_max,max_share
qwen3-4b,connected_nodes,0.5,-0.030000000000000027,-0.020000000000000018,0.09999999999999998,0.04999999999999993,-0.030000000000000027,-0.07999999999999996,-0.6000000000000013,0.09999999999999998,-0.3000000000000003,2.000000000000002
qwen3-4b,edge_count,0.1,0.22000000000000003,-0.05,-0.04,0.13000000000000003,-0.020000000000000004,-0.15000000000000002,-0.15384615384615383,0.22000000000000003,-0.09090909090909091,1.692307692307692
qwen3-4b,edge_count,0.2,0.3,-0.01,-0.01,0.27999999999999997,0.009999999999999998,-0.26999999999999996,0.03571428571428571,0.3,0.03333333333333333,1.0714285714285714
qwen3-4b,edge_count,0.35,0.24,0.01,-0.01,0.24,0.07,-0.16999999999999998,0.2916666666666667,0.24,0.2916666666666667,1.0
qwen3-4b,edge_count,0.5,0.33,0.0,0.0,0.33,0.09,-0.24000000000000002,0.2727272727272727,0.33,0.2727272727272727,1.0
qwen3-4b-think,node_count,0.1,0.020000000000000018,0.020000000000000018,0.010000000000000009,0.050000000000000044,0.020000000000000018,-0.030000000000000027,0.4,0.020000000000000018,1.0,0.4
qwen3-4b-think,node_count,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
qwen3-4b-think,node_count,0.35,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
qwen3-4b-think,node_count,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
qwen3-4b-think,cycle_check,0.1,-0.030000000000000027,0.020000000000000018,0.020000000000000018,0.010000000000000009,0.020000000000000018,0.010000000000000009,,-0.030000000000000027,-0.6666666666666666,
qwen3-4b-think,cycle_check,0.2,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.010000000000000009,0.020000000000000018,0.3333333333333333,-0.030000000000000027,0.3333333333333333,1.0
qwen3-4b-think,cycle_check,0.35,-0.030000000000000027,0.010000000000000009,0.010000000000000009,-0.010000000000000009,0.0,0.010000000000000009,,-0.030000000000000027,-0.0,
qwen3-4b-think,cycle_check,0.5,-0.040000000000000036,0.0,0.0,-0.040000000000000036,0.0,0.040000000000000036,-0.0,-0.040000000000000036,-0.0,1.0
qwen3-4b-think,edge_existence,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
qwen3-4b-think,edge_existence,0.2,0.0,0.0,-0.010000000000000009,-0.010000000000000009,0.0,0.010000000000000009,,-0.010000000000000009,,
qwen3-4b-think,edge_existence,0.35,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
qwen3-4b-think,edge_existence,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
qwen3-4b-think,edge_existence,0.65,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
qwen3-4b-think,edge_existence,0.75,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
qwen3-4b-think,edge_existence,0.85,0.020000000000000018,0.020000000000000018,0.010000000000000009,0.050000000000000044,0.010000000000000009,-0.040000000000000036,0.2,0.020000000000000018,0.5,0.4
qwen3-4b-think,node_degree,0.1,0.020000000000000018,0.0,-0.039999999999999925,-0.019999999999999907,-0.020000000000000018,-1.1102230246251565e-16,,-0.039999999999999925,0.5000000000000014,
qwen3-4b-think,node_degree,0.2,0.040000000000000036,0.040000000000000036,0.010000000000000009,0.09000000000000008,0.030000000000000027,-0.06000000000000005,0.3333333333333333,0.040000000000000036,0.75,0.4444444444444444
qwen3-4b-think,node_degree,0.35,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.09000000000000008,0.010000000000000009,-0.08000000000000007,0.1111111111111111,0.030000000000000027,0.3333333333333333,0.3333333333333333
qwen3-4b-think,node_degree,0.5,0.0,-0.010000000000000009,-0.06000000000000005,-0.07000000000000006,-0.010000000000000009,0.06000000000000005,0.14285714285714285,-0.06000000000000005,0.16666666666666666,0.8571428571428571
qwen3-4b-think,node_degree,0.65,-0.030000000000000027,-0.020000000000000018,-0.030000000000000027,-0.08000000000000007,-0.010000000000000009,0.07000000000000006,0.125,-0.030000000000000027,0.3333333333333333,0.375
qwen3-4b-think,node_degree,0.75,0.010000000000000009,0.0,-0.020000000000000018,-0.010000000000000009,0.010000000000000009,0.020000000000000018,,-0.020000000000000018,-0.5,
qwen3-4b-think,node_degree,0.85,0.010000000000000009,0.0,0.030000000000000027,0.040000000000000036,0.020000000000000018,-0.020000000000000018,0.5,0.030000000000000027,0.6666666666666666,0.75
qwen3-4b-think,connected_nodes,0.1,-0.020000000000000018,-0.039999999999999925,0.0,-0.05999999999999994,-0.04999999999999993,0.010000000000000009,0.833333333333333,-0.039999999999999925,1.2500000000000007,0.6666666666666661
qwen3-4b-think,connected_nodes,0.2,0.030000000000000027,0.010000000000000009,-0.010000000000000009,0.030000000000000027,-0.019999999999999907,-0.04999999999999993,-0.666666666666663,0.030000000000000027,-0.666666666666663,1.0
qwen3-4b-think,connected_nodes,0.35,0.0,0.0,-0.020000000000000018,-0.020000000000000018,0.0,0.020000000000000018,-0.0,-0.020000000000000018,-0.0,1.0
qwen3-4b-think,connected_nodes,0.5,0.0,0.010000000000000009,0.020000000000000018,0.030000000000000027,0.010000000000000009,-0.020000000000000018,0.3333333333333333,0.020000000000000018,0.5,0.6666666666666666
qwen3-4b-think,edge_count,0.1,-0.18000000000000005,0.17999999999999994,0.15000000000000002,0.1499999999999999,-0.2,-0.3499999999999999,-1.3333333333333341,-0.18000000000000005,1.111111111111111,1.200000000000001
qwen3-4b-think,edge_count,0.2,0.04999999999999999,0.19,0.21000000000000002,0.45,-0.10999999999999999,-0.56,-0.2444444444444444,0.21000000000000002,-0.5238095238095237,0.4666666666666667
qwen3-4b-think,edge_count,0.35,0.09999999999999998,0.31999999999999995,0.10999999999999999,0.5299999999999999,-0.07999999999999999,-0.6099999999999999,-0.1509433962264151,0.31999999999999995,-0.25,0.6037735849056604
qwen3-4b-think,edge_count,0.5,0.28,0.030000000000000006,-0.03,0.28,0.12,-0.16000000000000003,0.4285714285714285,0.28,0.4285714285714285,1.0
