arm,task,density,condition,n,n_uncapped,hit_cap_rate,median_tokens,p90_tokens,median_node_mentions,uses_degree_sum,narrates_neighbors,enumerates_nodes,acc,parsed_rate
qwen3-1.7b,node_degree,0.65,filler,100,100,0.0,258.0,419.6,4.0,0.0,0.0,0.0,0.07,1.0
qwen3-1.7b,node_degree,0.65,degree,100,100,0.0,246.0,322.20000000000005,3.0,0.0,0.0,0.0,0.08,1.0
qwen3-1.7b,node_degree,0.65,clustering,100,100,0.0,284.5,333.1,3.0,0.0,0.0,0.0,0.07,1.0
qwen3-1.7b,node_degree,0.65,rwse,100,100,0.0,324.0,480.3000000000001,4.0,0.0,0.0,0.18,0.07,1.0
qwen3-1.7b,node_degree,0.65,components,100,100,0.0,279.5,383.3000000000003,3.0,0.0,0.0,0.01,0.14,1.0
qwen3-1.7b,node_degree,0.65,all,100,100,0.0,176.0,250.60000000000005,2.0,0.0,0.0,0.01,0.15,1.0
qwen3-1.7b,node_degree,0.75,none,100,100,0.0,280.5,371.3,3.0,0.0,0.0,0.0,0.16,1.0
qwen3-1.7b,node_degree,0.75,filler,100,100,0.0,277.0,436.7000000000002,4.0,0.0,0.0,0.0,0.03,1.0
qwen3-1.7b,node_degree,0.75,degree,100,100,0.0,267.0,333.8000000000002,3.0,0.0,0.0,0.0,0.15,1.0
qwen3-1.7b,node_degree,0.75,clustering,100,100,0.0,297.0,360.50000000000006,3.0,0.0,0.0,0.0,0.11,1.0
qwen3-1.7b,node_degree,0.75,rwse,100,100,0.0,328.5,481.0,4.0,0.0,0.0,0.18,0.05,1.0
qwen3-1.7b,node_degree,0.75,components,100,100,0.0,281.0,425.0,3.0,0.0,0.0,0.0,0.12,1.0
qwen3-1.7b,node_degree,0.75,all,100,100,0.0,228.0,295.3,3.0,0.0,0.0,0.0,0.17,1.0
qwen3-1.7b,node_degree,0.85,none,100,100,0.0,267.5,369.3,3.0,0.0,0.0,0.04,0.05,1.0
qwen3-1.7b,node_degree,0.85,filler,100,100,0.0,290.0,322.1,3.0,0.0,0.0,0.0,0.03,1.0
qwen3-1.7b,node_degree,0.85,degree,100,100,0.0,245.5,298.0,3.0,0.0,0.0,0.01,0.07,1.0
qwen3-1.7b,node_degree,0.85,clustering,100,100,0.0,232.5,350.6,3.0,0.0,0.0,0.01,0.01,1.0
qwen3-1.7b,node_degree,0.85,rwse,100,100,0.0,330.0,505.0,4.0,0.0,0.0,0.08,0.01,1.0
qwen3-1.7b,node_degree,0.85,components,100,100,0.0,236.5,372.1,3.0,0.0,0.0,0.02,0.04,1.0
qwen3-1.7b,node_degree,0.85,all,100,100,0.0,289.5,317.0,4.0,0.0,0.0,0.0,0.05,1.0
qwen3-1.7b,connected_nodes,0.1,none,100,100,0.0,106.0,137.20000000000002,2.0,0.0,0.0,0.0,0.92,1.0
qwen3-1.7b,connected_nodes,0.1,filler,100,100,0.0,101.0,142.3,3.0,0.0,0.0,0.0,0.92,1.0
qwen3-1.7b,connected_nodes,0.1,degree,100,100,0.0,119.0,156.10000000000002,3.0,0.0,0.0,0.0,0.97,1.0
qwen3-1.7b,connected_nodes,0.1,clustering,100,100,0.0,99.5,126.20000000000002,3.0,0.0,0.0,0.0,0.9,1.0
qwen3-1.7b,connected_nodes,0.1,rwse,100,100,0.0,128.0,163.10000000000002,4.0,0.0,0.0,0.0,0.98,1.0
qwen3-1.7b,connected_nodes,0.1,components,100,100,0.0,110.5,141.3,3.0,0.0,0.0,0.0,0.92,1.0
qwen3-1.7b,connected_nodes,0.1,all,100,99,0.01,108.0,140.4,3.0,0.0,0.0,0.01,0.9,1.0
qwen3-1.7b,connected_nodes,0.2,none,100,100,0.0,143.5,181.10000000000002,2.0,0.0,0.0,0.0,0.91,1.0
qwen3-1.7b,connected_nodes,0.2,filler,100,100,0.0,142.5,193.70000000000005,1.0,0.0,0.0,0.0,0.86,1.0
qwen3-1.7b,connected_nodes,0.2,degree,100,100,0.0,156.0,195.10000000000002,3.0,0.0,0.0,0.0,0.92,1.0
qwen3-1.7b,connected_nodes,0.2,clustering,100,100,0.0,136.5,175.50000000000006,3.0,0.0,0.0,0.0,0.9,1.0
qwen3-1.7b,connected_nodes,0.2,rwse,100,100,0.0,156.5,200.3,3.0,0.0,0.0,0.0,0.86,1.0
qwen3-1.7b,connected_nodes,0.2,components,100,100,0.0,143.5,186.3,3.0,0.0,0.0,0.0,0.9,1.0
qwen3-1.7b,connected_nodes,0.2,all,100,100,0.0,146.5,190.3,3.0,0.0,0.0,0.0,0.84,1.0
qwen3-1.7b,connected_nodes,0.35,none,100,100,0.0,209.5,266.1,1.0,0.0,0.0,0.0,0.59,1.0
qwen3-1.7b,connected_nodes,0.35,filler,100,100,0.0,208.0,294.3000000000001,1.0,0.0,0.0,0.01,0.49,1.0
qwen3-1.7b,connected_nodes,0.35,degree,100,100,0.0,213.0,273.6,2.0,0.0,0.0,0.0,0.64,1.0
qwen3-1.7b,connected_nodes,0.35,clustering,100,100,0.0,200.5,266.9000000000001,3.0,0.0,0.0,0.0,0.63,1.0
qwen3-1.7b,connected_nodes,0.35,rwse,100,100,0.0,218.0,296.90000000000015,3.0,0.0,0.0,0.0,0.61,1.0
qwen3-1.7b,connected_nodes,0.35,components,100,100,0.0,208.0,268.0,2.0,0.0,0.0,0.0,0.64,1.0
qwen3-1.7b,connected_nodes,0.35,all,100,100,0.0,209.0,270.0,3.0,0.0,0.0,0.0,0.74,1.0
qwen3-1.7b,connected_nodes,0.5,none,100,100,0.0,290.0,376.6,1.0,0.0,0.0,0.0,0.48,1.0
qwen3-1.7b,connected_nodes,0.5,filler,100,100,0.0,290.0,420.80000000000007,3.0,0.0,0.0,0.04,0.38,1.0
qwen3-1.7b,connected_nodes,0.5,degree,100,100,0.0,284.5,362.0,2.0,0.0,0.0,0.0,0.51,1.0
qwen3-1.7b,connected_nodes,0.5,clustering,100,100,0.0,280.0,361.3,3.0,0.0,0.0,0.0,0.52,1.0
qwen3-1.7b,connected_nodes,0.5,rwse,100,100,0.0,298.0,390.3000000000001,3.0,0.0,0.0,0.0,0.49,1.0
qwen3-1.7b,connected_nodes,0.5,components,100,100,0.0,292.0,390.3,2.0,0.0,0.0,0.0,0.47,1.0
qwen3-1.7b,connected_nodes,0.5,all,100,100,0.0,286.5,390.1000000000001,3.0,0.0,0.0,0.0,0.5,1.0
qwen3-1.7b,edge_count,0.1,none,100,69,0.31,,,0.0,0.67,0.0,0.33,0.03,1.0
qwen3-1.7b,edge_count,0.1,filler,100,85,0.15,1437.0,1880.4,0.0,0.39,0.0,0.27,0.0,1.0
qwen3-1.7b,edge_count,0.1,degree,100,90,0.1,1188.5,2367.3,0.0,0.99,0.0,0.05,0.06,1.0
qwen3-1.7b,edge_count,0.1,clustering,100,90,0.1,1421.0,1884.1000000000001,40.0,0.02,0.0,0.95,0.0,1.0
qwen3-1.7b,edge_count,0.1,rwse,100,90,0.1,1544.0,1999.4,40.0,0.15,0.01,0.8,0.0,1.0
qwen3-1.7b,edge_count,0.1,components,100,80,0.2,1493.5,2044.3000000000006,40.0,0.43,0.0,0.64,0.0,1.0
qwen3-1.7b,edge_count,0.1,all,100,74,0.26,,,0.0,0.11,0.0,0.38,0.0,1.0
qwen3-1.7b,edge_count,0.2,none,100,91,0.09,1970.0,2496.0,40.0,0.46,0.0,0.8,0.02,1.0
qwen3-1.7b,edge_count,0.2,filler,100,91,0.09,1978.0,2377.0,40.0,0.29,0.0,0.61,0.03,1.0
qwen3-1.7b,edge_count,0.2,degree,100,94,0.06,759.0,2275.9000000000005,0.0,1.0,0.0,0.0,0.03,1.0
qwen3-1.7b,edge_count,0.2,clustering,100,97,0.03,1962.0,2209.8,40.0,0.18,0.0,0.8,0.03,1.0
qwen3-1.7b,edge_count,0.2,rwse,100,91,0.09,2107.0,2723.0,40.0,0.27,0.0,0.8,0.02,1.0
qwen3-1.7b,edge_count,0.2,components,100,80,0.2,1873.0,2659.9000000000005,40.0,0.53,0.0,0.52,0.01,1.0
qwen3-1.7b,edge_count,0.2,all,100,91,0.09,1369.0,2530.0,0.0,0.6,0.0,0.26,0.01,1.0
qwen3-1.7b,edge_count,0.35,none,100,50,0.5,,,40.0,0.47,0.0,0.8,0.0,1.0
qwen3-1.7b,edge_count,0.35,filler,100,60,0.4,,,40.0,0.45,0.0,0.96,0.0,1.0
qwen3-1.7b,edge_count,0.35,degree,100,98,0.02,805.0,833.8,0.0,1.0,0.0,0.0,0.01,1.0
qwen3-1.7b,edge_count,0.35,clustering,100,74,0.26,,,40.0,0.28,0.0,0.66,0.0,1.0
qwen3-1.7b,edge_count,0.35,rwse,100,79,0.21,,,40.0,0.38,0.0,0.97,0.0,1.0
qwen3-1.7b,edge_count,0.35,components,100,67,0.33,,,40.0,0.22,0.0,0.93,0.0,1.0
qwen3-1.7b,edge_count,0.35,all,100,67,0.33,,,40.0,0.36,0.0,0.69,0.04,1.0
qwen3-1.7b,edge_count,0.5,none,100,71,0.29,,,40.0,0.07,0.0,1.0,0.0,1.0
qwen3-1.7b,edge_count,0.5,filler,100,59,0.41,,,40.0,0.31,0.0,1.0,0.0,1.0
qwen3-1.7b,edge_count,0.5,degree,100,80,0.2,818.0,2561.2,0.0,1.0,0.0,0.0,0.07,1.0
qwen3-1.7b,edge_count,0.5,clustering,100,67,0.33,,,40.0,0.46,0.0,0.93,0.0,1.0
qwen3-1.7b,edge_count,0.5,rwse,100,68,0.32,,,40.0,0.29,0.01,0.94,0.0,1.0
qwen3-1.7b,edge_count,0.5,components,100,64,0.36,,,40.0,0.15,0.0,0.97,0.0,1.0
qwen3-1.7b,edge_count,0.5,all,100,56,0.44,,,40.0,0.4,0.0,0.85,0.03,1.0
qwen3-1.7b-think,node_count,0.1,none,100,98,0.02,1192.0,1663.1999999999998,0.0,0.0,0.32,0.06,0.99,1.0
