arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,none_acc,mid_range,contaminated,bh_significant,bh_global
qwen3-1.7b-think,lo,cycle_check,rwse,filler,98,1.0,1.0,0.0,0,0,1.0,0.5,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,degree,filler,88,1.0,1.0,0.0,0,0,1.0,0.1,1.0,False,True,False,False
qwen3-1.7b-think,lo,cycle_check,degree,filler,73,1.0,0.9863,-1.37,1,0,1.0,0.2,1.0,False,True,False,False
qwen3-1.7b-think,lo,cycle_check,degree,filler,66,1.0,0.9848,-1.52,1,0,1.0,0.35,1.0,False,True,False,False
qwen3-1.7b-think,lo,cycle_check,degree,filler,76,1.0,1.0,0.0,0,0,1.0,0.5,1.0,False,True,False,False
qwen3-1.7b-think,lo,cycle_check,all,filler,95,1.0,1.0,0.0,0,0,1.0,0.1,1.0,False,True,False,False
qwen3-1.7b-think,lo,cycle_check,all,filler,96,1.0,1.0,0.0,0,0,1.0,0.2,1.0,False,True,False,False
qwen3-1.7b-think,lo,cycle_check,all,filler,98,1.0,1.0,0.0,0,0,1.0,0.35,1.0,False,True,False,False
qwen3-1.7b-think,lo,cycle_check,all,filler,96,1.0,1.0,0.0,0,0,1.0,0.5,1.0,False,True,False,False
qwen3-1.7b-think,lo,edge_existence,components,filler,99,0.9697,0.9899,2.02,0,2,0.5,0.1,1.0,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,components,filler,100,0.98,0.97,-1.0,3,2,1.0,0.2,1.0,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,components,filler,100,1.0,0.98,-2.0,2,0,0.5,0.35,0.97,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,components,filler,100,0.99,1.0,1.0,0,1,1.0,0.5,1.0,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,clustering,filler,99,0.9697,0.9798,1.01,1,2,1.0,0.1,1.0,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,clustering,filler,100,0.98,0.98,0.0,2,2,1.0,0.2,1.0,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,clustering,filler,100,1.0,0.99,-1.0,1,0,1.0,0.35,0.97,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,clustering,filler,100,0.99,0.98,-1.0,2,1,1.0,0.5,1.0,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,rwse,filler,100,0.97,1.0,3.0,0,3,0.25,0.1,1.0,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,rwse,filler,100,0.98,0.95,-3.0,4,1,0.375,0.2,1.0,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,rwse,filler,100,1.0,0.97,-3.0,3,0,0.25,0.35,0.97,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,rwse,filler,99,0.9899,1.0,1.01,0,1,1.0,0.5,1.0,False,False,False,False
qwen3-1.7b-think,lo,edge_existence,degree,filler,99,0.9697,0.9697,0.0,2,2,1.0,0.1,1.0,False,True,False,False
qwen3-1.7b-think,lo,edge_existence,degree,filler,100,0.98,0.95,-3.0,5,2,0.453125,0.2,1.0,False,True,False,False
